BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-23 08:17:11
Total records: 2522

plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Total (KG)
1136191	1	2021	Natural Stand	L 	13	2221	18.3	15.6	108.3579
1136191	1	2021	Natural Stand	L 	13	2222	18.1	15.4	105.2956
1136191	1	2021	Natural Stand	L 	13	2223	16.1	14.6	81.3203
1136191	1	2021	Natural Stand	L 	13	2224	18.9	14.6	111.5073
1136191	1	2021	Natural Stand	L 	13	2225	16.8	14.2	87.0854
1136191	1	2021	Natural Stand	L 	13	2226	18	14.1	99.4897
1136191	1	2021	Natural Stand	L 	13	2227	15.6	13.6	73.5875
1136191	1	2021	Natural Stand	L 	13	2228	16.6	12.9	81.2156
1136191	1	2021	Natural Stand	L 	13	2229	15.9	12.3	72.9655
1136191	1	2021	Natural Stand	L 	13	2230	10.6	11.8	32.0081
1136191	1	2021	Natural Stand	L 	13	2231	14.5	11.6	59.1215
1136191	1	2021	Natural Stand	L 	13	2232	9	11	22.4043
1136191	1	2021	Natural Stand	L 	13	2233	9.2	8.91	21.2460
1136191	1	2021	Natural Stand	L 	13	2234	9.7	8.9	23.6638
1136191	1	2021	Natural Stand	L 	13	2235	6.1	7	8.4852
1136191	1	2021	Natural Stand	L 	13	2236	6.5	5.9	9.4048
1136191	1	2021	Natural Stand	L 	13	2237	6.1	5.16	8.1965
1136191	1	2021	Natural Stand	L 	13	2238	3.1	3.87	1.8828
1136191	1	2021	Natural Stand	L 	13	2239	3.9	3.6	3.1912
1142896	1	2008	Natural Stand	L 	13	2310	21.4	18.97	165.0107
1142896	1	2008	Natural Stand	L 	13	2311	17.2	16.44	99.1351
1142896	1	2008	Natural Stand	L 	13	2312	18.8	15.16	112.4772
1142896	1	2008	Natural Stand	L 	13	2313	14.4	14.81	66.0652
1142896	1	2008	Natural Stand	L 	13	2314	14	14.5	61.7800
1142896	1	2008	Natural Stand	L 	13	2315	13.7	11.95	53.4122
1142896	1	2008	Natural Stand	L 	13	2316	5.8	5.16	7.3301
1143061	1	2004	Natural Stand	L 	13	2364	17.6	13.7	93.8386
1143061	1	2004	Natural Stand	L 	13	2365	17.7	13.34	93.7753
1143061	1	2004	Natural Stand	L 	13	2366	16.3	13.17	79.0345
1143061	1	2004	Natural Stand	L 	13	2367	20.2	12.18	119.1045
1143061	1	2004	Natural Stand	L 	13	2368	12.7	10.95	44.1765
1143061	1	2004	Natural Stand	L 	13	2369	5.8	5.97	7.3770
1143061	1	2016	Natural Stand	L 	13	2509	21.1	16.8	149.1842
1143061	1	2016	Natural Stand	L 	13	2510	18.2	15	104.9292
1143061	1	2016	Natural Stand	L 	13	2511	18.5	14.8	107.6105
1143061	1	2016	Natural Stand	L 	13	2512	18.6	14.4	107.2887
1143061	1	2016	Natural Stand	L 	13	2513	16.8	13.8	85.8351
1143061	1	2016	Natural Stand	L 	13	2514	13.1	12.3	49.5436
1143061	1	2016	Natural Stand	L 	13	2515	8.7	9.9	19.8504
1143061	1	2016	Natural Stand	L 	13	2516	5.2	9.6	7.2234
1143061	1	2016	Natural Stand	L 	13	2517	6.6	7	9.9800
1143061	1	2016	Natural Stand	L 	13	2518	3.8	2.28	3.9038
1149706	1	2015	Natural Stand	L 	13	2638	17.5	13.5	92.1484
1149706	1	2015	Natural Stand	L 	13	2639	18.2	13.1	98.4489
1149706	1	2015	Natural Stand	L 	13	2640	16.6	12.6	80.4071
1149706	1	2015	Natural Stand	L 	13	2641	15.9	12.5	73.4602
1149706	1	2015	Natural Stand	L 	13	2642	9.2	9.6	21.8738
1149706	1	2015	Natural Stand	L 	13	2643	10.5	9.5	28.4499
1149706	1	2015	Natural Stand	L 	13	2644	9.3	8.1	21.1184
1149706	1	2015	Natural Stand	L 	13	2645	8.7	7.7	18.1543
1149706	1	2015	Natural Stand	L 	13	2646	5	4	5.4840
1149746	1	2014	Natural Stand	L 	13	2745	32.1	16.8	346.4332
1149746	1	2014	Natural Stand	L 	13	2746	22.8	14.5	162.2177
1149746	1	2014	Natural Stand	L 	13	2747	4.5	4	4.3047
1149746	1	2014	Natural Stand	L 	13	2748	4.1	3.7	3.5512
1149956	1	2005	Natural Stand	L 	13	2750	16.9	14.68	89.6768
1149956	1	2005	Natural Stand	L 	13	2751	15.8	14.66	78.5762
