BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-22 10:33:54
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
SR0201PSP	8961	1997	N	L	25	39	35.2	20.8	N/A	N/A	N/A	N/A	N/A	N/A
SR3011PSP	9075	2008	N	L	35	170	5.7	6.2	N/A	N/A	N/A	N/A	N/A	N/A
SR1015PSP	8992	1994	N	L	83	88	20.9	18.5	N/A	N/A	N/A	N/A	N/A	N/A
SR5023PSP	9160	1996	N	L	50	5	11.7	8.1	N/A	N/A	N/A	N/A	N/A	N/A
CE7003PSP	8881	2005	N	L	89	12	3.1	2.6	0.1569	0.8418	0.2985	1.1403	0.8200	1.9603
1259801PIP	223	2011	N	L	98	38	2.6	5.8	0.1344	0.2604	0.1548	0.4153	0.7824	1.1977
SR5014PSP	9156	1994	N	L	31	33	16.3	17.3	8.3350	4.7893	16.1200	20.9092	89.9613	110.8706
SR4001PSP	9086	1993	N	L	2	123	23.2	25.3	N/A	N/A	N/A	N/A	N/A	N/A
SR4421PSP	9139	1995	N	L	1	41	11.7	13.1	6.6551	2.2901	7.9051	10.1952	42.3840	52.5792
ACH_NPGP	12072	1978	N	L	74	75	25.4	19.5	N/A	N/A	N/A	N/A	N/A	N/A
LSJP1993012PSP	3446	1993	N	L	162	13	16.6	11.05	8.3420	8.7610	9.6968	18.4578	64.1536	82.6114
CE3000PSP	8759	1997	N	L	55	2	18.5	21	7.5038	8.8739	10.1190	18.9929	78.5294	97.5222
HEA1993008PSP	3344	2006	N	L	1	73	9.6	7.93	3.5350	1.0806	2.8369	3.9175	16.6264	20.5438
SR0213PSP	8973	1994	N	L	17	50	6.8	9.34	0.8568	0.9854	2.6313	3.6168	6.5117	10.1285
LD2603PGP	10639	2022	N	L	162	1001	7.7	9.6	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK604PGP	12147	1991	N	L	63	19	4.9	8	0.5622	1.1557	0.7943	1.9500	3.2900	5.2400
FCTEM2004058PGP	6158	2004	N	L	556	12	24.5	18.12	18.3061	17.4702	22.1028	39.5730	154.9751	194.5481
SR0208PSP	8968	1998	N	L	31	68	11.7	15.1	N/A	N/A	N/A	N/A	N/A	N/A
CE7005PSP	8883	1994	N	L	7	46	15.2	15.4	9.2434	3.1240	19.8677	22.9917	76.8845	99.8762
FCABI200523PGP	4578	2005	N	L	188	3	31	19.16	22.5104	14.7406	31.6236	46.3642	331.9948	378.3589
HEM_CLAN294PGP	12118	1992	N	L	12	139	16.5	15	N/A	N/A	N/A	N/A	N/A	N/A
SR0204PSP	8964	1993	N	L	40	42	9.4	12.2	N/A	N/A	N/A	N/A	N/A	N/A
SR0205PSP	8965	1993	N	L	109	78	43.6	19	N/A	N/A	N/A	N/A	N/A	N/A
CE4117PSP	8837	1995	N	L	25	51	32.5	19.86	44.8057	8.6209	55.6705	64.2915	292.3641	356.6555
SR0211PSP	8971	1994	N	L	62	47	10.9	12.3	5.5815	1.9123	4.7037	6.6160	34.3906	41.0066
SR5024PSP	9161	1997	N	L	49	117	5.1	4.6	N/A	N/A	N/A	N/A	N/A	N/A
1225636PIP	6721	2012	N	L	30	903	12.8	8.8	N/A	N/A	N/A	N/A	N/A	N/A
SR1202PSP	9003	1993	N	L	73	124	24.2	21.5	N/A	N/A	N/A	N/A	N/A	N/A
FCABI200547PGP	4607	2010	N	L	318	37	17	11.42	11.1876	5.8632	27.7199	33.5831	98.2764	131.8595
CE4118PSP	8838	1995	N	L	29	30	10.3	12.4	N/A	N/A	N/A	N/A	N/A	N/A
SR0206PSP	8966	1993	N	L	43	111	15	9.53	N/A	N/A	N/A	N/A	N/A	N/A
SR0201PSP	8961	1997	N	L	111	42	38	24.3	N/A	N/A	N/A	N/A	N/A	N/A
CE3030PSP	8789	2010	N	L	67	22	37.9	16.2	27.5578	26.6485	38.2292	64.8778	230.6464	295.5241
SR1003PSP	8987	2008	N	L	45	58	28.2	20	31.4045	5.1386	65.5162	70.6548	275.5076	346.1624
HEM_LAWR224PGP	12199	1990	N	L	19	19	23	16	20.5774	15.9999	26.3744	42.3743	129.0855	171.4598
SR0021PSP	8959	1995	N	L	47	58	6.8	6.17	2.3002	0.8909	3.7541	4.6450	17.7452	22.3902
