BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-18 09:45:54
Total records: 17664

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)
ARGS053PGP	11844	1977	N	L	11	56	28.7	20.73	N/A
SR0201PSP	8961	1992	N	L	28	39	32.5	23.4	N/A
CE7000PSP	8878	2004	N	L	26	51	7.7	7.85	7.6976
FCTEM2003074PGP	6045	2003	N	L	67	13	25.2	22.01	159.4485
SR0204PSP	8964	1993	N	L	30	39	34.4	19	N/A
SR1015PSP	8992	2009	N	L	97	88	36.9	22.3	N/A
FCDOM200435PGP	5586	2009	N	L	201	12	5.8	4.52	3.3330
1184171PIP	10327	2016	N	L	41	25	16.0	10.3	55.3304
CE4117PSP	8837	1995	N	L	14	56	9.5	10.3	N/A
ARGS254PGP	12044	1977	N	L	10	30	10.9	12.5	N/A
SR5023PSP	9160	1996	N	L	35	5	3.4	3.47	N/A
BY_MCPGP	3508	2006	N	L	88	37	8.6	14.3	20.0275
FCACI200208PGP	4393	2007	N	L	140	20	19.4	16.6	66.3940
SR5417PSP	9194	1999	N	L	87	170	18.9	20.3	N/A
1184326PIP	6594	2012	N	L	113	22	8.3	5	7.0578
SR0205PSP	8965	1993	N	L	76	78	5.8	8.19	N/A
CHT2002019PGP	7049	2002	N	L	150	12	38.0	23.33	423.6300
SR0205PSP	8965	1993	N	L	55	55	5.2	8.83	N/A
SR1008PSP	8990	2010	N	L	1	89	38.9	30.3	N/A
HEM_LAWR228PGP	12201	1999	N	L	13	14	43.4	22.4	538.2269
SR0212PSP	8972	1994	N	L	1	60	22.3	16	N/A
NBCB021PGP	12360	2003	N	L	149	58	16.2	12.1	83.2539
SR0204PSP	8964	1993	N	L	22	47	5.3	9.18	5.9749
LSJP1994003PSP	3466	1994	N	L	150	13	4.6	5.11	2.2139
SR0016PSP	8956	1995	N	L	49	40	3.6	4.92	1.5139
SR1023PSP	9000	2010	N	L	11	89	40.8	26.7	N/A
SR4413PSP	9134	1999	N	L	53	123	26.3	20.1	N/A
SR1015PSP	8992	2005	N	L	34	88	22.0	17.1	N/A
SR0016PSP	8956	2000	N	L	59	40	7.5	7.9	8.3929
CHT2002034PGP	7064	2002	N	L	151	12	45.2	26.57	662.5425
SR2222PSP	9054	1994	N	L	56	30	16.8	15.91	N/A
FCDOM200334PGP	5498	2003	N	L	26	3	29.0	24.04	263.6374
SR0206PSP	8966	1993	N	L	47	50	51.5	26.5	1050.4453
CE6204PSP	8874	1999	N	L	16	54	3.8	6.1	N/A
SR2207PSP	9046	2000	N	L	22	58	6.9	7.4	15.8888
NOR2013002PSP	11781	2013	N	L	30	14	23.6	17.3	134.0781
CE4124PSP	8844	1995	N	L	58	22	21.1	12.8	55.5934
SUD2004003PGP	7572	2010	N	L	210	13	7.1	5.22	6.5944
ARGS244PGP	12034	1982	N	L	18	19	36.1	17.98	317.5620
SR0201PSP	8961	1992	N	L	74	42	26.5	15.6	N/A
FCDOM200231PGP	5458	2007	N	L	4	37	40.9	20.43	578.5396
CE0003PSP	8649	2003	N	L	8	37	8.9	9.34	21.5648
LD2902PGP	10650	2011	N	L	205	72	3.4	7	N/A
NBPWP031PGP	12386	2002	N	L	164	139	5.7	7.9	N/A
CE1008PSP	8715	1993	N	L	62	2	7.1	5.4	6.8215
ARGS025PGP	11816	1977	N	L	2	75	27.2	23.16	N/A
SR0208PSP	8968	1993	N	L	8	68	6.9	3.63	N/A
SR1008PSP	8990	2006	N	L	80	89	40.3	27.8	N/A
SR1201PSP	9002	2007	N	L	33	46	36.8	26.9	459.3626
SR5407PSP	9184	1995	N	L	23	94	11.1	10.7	N/A
GCF1994008PGP	7624	2000	N	L	47	13	25.4	18.54	162.6499
SR1024PSP	9001	2010	N	L	79	40	20.5	21.3	87.6865
FCNEE_KC2000145PGP	5218	2011	N	L	75	38	15.1	13.31	52.9130
FCTEM2002006PGP	5833	2015	N	L	107	25	6.5	13.5	6.1022
IFF1993009PSP	3361	2018	N	L	209	139	8.4	11.3	N/A
SR0405PSP	8982	1998	N	L	10	86	36.6	25.8	N/A
KAP1992001PGP	7569	1992	N	L	24	73	24.3	22.36	127.7391
SR5004PSP	9147	1993	N	L	11	40	3.0	5.4	0.9893
SR0019PSP	8957	2000	N	L	15	40	18.0	16.8	64.7341
1253116PIP	6733	2012	N	L	15	12	15.2	12.9	39.9297
SR5021PSP	9159	1995	N	L	22	42	3.8	4.48	N/A
FCTEM2002103PGP	5928	2007	N	L	595	25	24.3	16.9	153.8691
SR1210PSP	9011	1994	N	L	10	136	68.8	29.42	N/A
SR1004PSP	8988	1993	N	L	5	78	24.0	20.8	N/A
NBOR021PGP	12422	2003	N	L	2	41	34.0	26.3	358.4878
HEM_BRUT494PGP	12092	1991	N	L	14	1001	12.3	11.5	N/A
CE4110PSP	8830	2014	N	L	77	2	2.9	3.1	0.7630
SR5417PSP	9194	1995	N	L	8	124	10.7	15.9	N/A
SR1001PSP	8985	2007	N	L	36	44	7.8	14.6	16.6052
SR2209PSP	9048	1995	N	L	17	55	24.2	17.4	N/A
NOR2013002PSP	11781	2013	N	L	50	14	37.1	19.6	376.3275
1225561PIP	10282	2016	N	L	5	903	18.3	11	N/A
FCTEM2002047PGP	5874	2007	N	L	83	12	31.7	23.04	265.5062
SR4012PSP	9097	1995	N	L	110	170	5.3	6.28	N/A
SR0208PSP	8968	1993	N	L	45	111	6.9	6.94	N/A
HEM_DICK598PGP	12146	1991	N	L	18	19	35.0	17	294.9953
SR0407PSP	8984	1997	N	L	4	47	11.2	20.4	30.5672
CE7004PSP	8882	1994	N	L	24	30	2.7	4.97	N/A
SR1401PSP	9018	2012	N	L	31	56	32.1	20.9	N/A
CE4116PSP	8836	2021	N	L	90	56	25.0	20.5	N/A
CE7012PSP	8890	1994	N	L	81	32	30.3	26.54	301.8037
SR1202PSP	9003	2013	N	L	76	46	3.7	8.2	3.1678
CE2013PSP	8756	1993	N	L	14	41	3.3	5.25	2.3166
SR0208PSP	8968	1998	N	L	16	68	15.1	15	N/A
SR1209PSP	9010	2000	N	L	20	94	16.3	17.5	N/A
SR0205PSP	8965	1993	N	L	13	78	7.7	10.9	N/A
ARGS142PGP	11932	1977	N	L	17	51	32.3	24.99	243.9025
SR0207PSP	8967	1993	N	L	69	123	9.9	11.5	N/A
SR0201PSP	8961	1992	N	L	53	33	5.0	8.24	6.8245
SR0003PSP	8943	1997	N	L	25	123	9.8	13.4	N/A
ACH_MPGP	12071	1958	N	L	58	1	16.0	14	N/A
