SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
33,Silver Maple,SR0201PSP,4.2,8.22,4.732,0.5218,0.8697,0.2401
33,Silver Maple,SR0204PSP,21.4,21,144.6,14.54,6.745,37.51
33,Silver Maple,SR2231PSP,26.7,20.3,230.1,22.85,8.91,74.51
33,Silver Maple,SR0008PSP,19.2,16.8,115.1,11.65,5.885,26.79
33,Silver Maple,SR0204PSP,3.7,5.71,3.626,0.4028,0.7415,0.1621
33,Silver Maple,SR5014PSP,16.3,17.3,81.63,8.335,4.789,16.12
33,Silver Maple,SR0201PSP,13.4,13.91,54.09,5.585,3.743,8.779
33,Silver Maple,SR0201PSP,5,8.24,6.825,0.7452,1.083,0.4124
33,Silver Maple,SR0204PSP,12.7,14.8,48.33,5.005,3.499,7.433
33,Silver Maple,SR0204PSP,11.6,11.83,39.96,4.16,3.122,5.612
33,Silver Maple,SR5014PSP,34.3,22.8,389.4,38.12,12.21,162.0
33,Silver Maple,SR5417PSP,20.5,21.6,132.1,13.32,6.39,32.83
