SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
19,Eastern Hemlock,HEM_BISHA03PGP,21.2,13,83.57,17.14,14.37,21.51
19,Eastern Hemlock,HEM_PENT367PGP,5,8,3.403,0.7705,1.057,0.5829
20,Balsam Fir,FCABI200315PGP,27.3,20.3,171.5,30.64,17.79,25.6
20,Balsam Fir,FCBOW56-031-0PGP,40.6,18.5,328.1,66.45,53.76,116.3
20,Balsam Fir,FCBOW56-020-0PGP,30.4,19.25,199.6,37.18,24.78,40.0
20,Balsam Fir,FCTEM2002099PGP,21.4,14.4,81.55,15.08,14.16,17.02
20,Balsam Fir,COC1994001PSP,8.2,7,7.516,1.336,2.829,1.501
20,Balsam Fir,CE1027PSP,3,2.9,0.5543,0.09782,0.6021,0.1385
20,Balsam Fir,FCACI200208PGP,19.4,16.6,77.01,13.35,9.421,10.03
20,Balsam Fir,FCTEM2003027PGP,25.7,19.9,150.9,26.7,15.62,21.25
20,Balsam Fir,KAP1992001PSP,17,12.91,48.63,8.749,8.954,8.746
20,Balsam Fir,FCWEY4S2001001PGP,13.6,9.36,24.45,4.551,7.317,6.072
20,Balsam Fir,CE0068PSP,4.7,4.67,1.907,0.3299,1.095,0.3602
20,Balsam Fir,FCTEM2002067PGP,6.2,5.24,3.503,0.6291,1.934,0.8197
20,Balsam Fir,BP1993031PSP,11.3,8.95,16.74,3.011,4.822,3.359
20,Balsam Fir,TIM1999003PSP,6.3,5.51,3.767,0.6698,1.904,0.8122
20,Balsam Fir,CHA1995027PSP,8.6,8.25,9.454,1.624,2.653,1.432
20,Balsam Fir,FCNEE_KC2002189PGP,27.6,19.8,171.3,30.89,18.81,27.47
20,Balsam Fir,FCDOM200318PGP,3.8,4.16,1.168,0.1978,0.729,0.1985
20,Balsam Fir,FCWEY4S2001085PGP,3.5,5.1,1.198,0.1877,0.4713,0.1141
20,Balsam Fir,CE3014PSP,10.9,8.38,14.81,2.688,4.74,3.225
20,Balsam Fir,CE4024PSP,25.2,20.37,148.5,25.97,14.48,19.24
20,Balsam Fir,BP1993040PSP,15.1,14.19,42.45,7.219,5.971,5.102
20,Balsam Fir,FCWEY4S2001086PGP,28.7,16.8,159.7,30.45,24.97,39.02
20,Balsam Fir,COC1994025PSP,26,20.5,158.2,27.83,15.56,21.29
20,Balsam Fir,1314921PIP,11.3,11,20.01,3.397,3.825,2.569
22,Eastern White Cedar,1246236PIP,6.3,5.4,34.02,34.02,34.02,34.02
22,Eastern White Cedar,1246196PIP,7.9,5.9,46.61,46.61,46.61,46.61
22,Eastern White Cedar,FCTEM2004061PGP,6.4,6.1,39.04,39.04,39.04,39.04
22,Eastern White Cedar,FCWEY_KEN2005001PGP,33.3,12.68,422.2,422.2,422.2,422.2
22,Eastern White Cedar,CE3030PSP,37.9,16.2,614.0,614.0,614.0,614.0
22,Eastern White Cedar,1184326PIP,8.3,5,41.5,41.5,41.5,41.5
22,Eastern White Cedar,CE4124PSP,21.1,12.8,270.1,270.1,270.1,270.1
22,Eastern White Cedar,LWP1994013PSP,26.5,10,265.0,265.0,265.0,265.0
22,Eastern White Cedar,CHT2002039PGP,7.4,4.62,34.19,34.19,34.19,34.19
22,Eastern White Cedar,CHT2002032PGP,10.4,8.1,84.24,84.24,84.24,84.24
22,Eastern White Cedar,SR5208PSP,4.2,4.9,20.58,20.58,20.58,20.58
