PlotName	PlotKey	FieldSeasonYear	StandOriginCode	TreeStatusCode	TreeNum	SpecCode	DBH	HtTot
SR5023PSP	9160	1996	N	L	55	5	31.7	13.1
CE3002PSP	8761	1998	N	L	11	1	45.2	29.7
COC1994017PSP	3280	2017	N	L	256	903	11	8
FCBOW12-2003-011PGP	5120	2008	N	L	102	25	2.8	4.16
ARGS168PGP	11958	1982	N	L	5	56	11.2	14.33
CE1010PSP	8717	1993	N	L	56	1	4.5	4.43
ARGS025PGP	11816	1982	N	L	2	75	29.2	24.08
SR0201PSP	8961	1997	N	L	64	42	30.4	19.9
SR5023PSP	9160	1996	N	L	65	5	9.2	6.71
SR0208PSP	8968	1998	N	L	43	111	10.4	13.5
SR5404PSP	9181	1998	N	L	49	55	28.1	21.9
ACH_CPGP	12061	1984	N	L	41	12	33.5	28.2
SR4002PSP	9087	1993	N	L	46	46	23.6	19
SR1005PSP	8989	2013	N	L	17	44	12.4	12.7
HEM_DICK615PGP	12149	1992	N	L	3	19	15.7	9
SR5211PSP	9171	1994	N	L	24	56	10.7	12
SR4424PSP	9141	1995	N	L	130	123	18.1	15.5
SR4219PSP	9117	1994	N	L	78	51	12.1	14.6
SR1013PSP	8991	1995	N	L	110	90	8	11.5
SR2203PSP	9042	2009	N	L	14	50	26.5	14.5
NOR2016001PSP	11788	2016	N	L	3	70	27.6	27.7
CE1017PSP	8722	2022	N	L	72	2	50.8	19.6
SR0406PSP	8983	1993	N	L	29	86	22.6	19.5
FECGY920PGP	12843	2001	N	L	21	32	35.1	19.9
SR1216PSP	9015	2010	N	L	42	40	26.3	22.5
BY_T1CTPGP	3510	2006	N	L	18	58	16.4	12.6
CHT2002039PGP	7069	2002	N	L	206	22	7.4	4.62
SR1001PSP	8985	1992	N	L	86	44	4.8	6.07
FCTEM2003027PGP	5983	2013	N	L	823	20	25.7	19.9
FCWEY4S2002017PGP	6444	2007	N	L	1	74	12.6	13.2
CE4121PSP	8841	2006	N	L	25	37	44.5	21.2
KAP1992001PSP	3363	2002	N	L	24	20	17	12.91
SR1004PSP	8988	1998	N	L	5	78	24.9	24
CE1035PSP	8740	1994	N	L	2	37	10.6	14.09
CE4134PSP	8854	1995	N	L	41	38	34.8	21.04
SR5023PSP	9160	1999	N	L	47	5	26.3	14.4
ARGS111PGP	11901	1977	N	L	18	44	26.4	24.38
SR5023PSP	9160	1996	N	L	3	5	28.9	14.1
HEM_BRUT497PGP	12093	1991	N	L	9	139	12.7	12
SR1216PSP	9015	2000	N	L	41	40	35	23.9
HEM_PECK614PGP	12246	1991	N	L	31	14	6.9	5
SR5416PSP	9193	1995	N	L	30	169	34.6	25.3
SR4417PSP	9137	1994	N	L	42	123	19.5	21.1
SR0206PSP	8966	1993	N	L	54	78	5.5	6.32
FCTEM2004070PGP	6106	2004	N	L	990	1	5.1	4.41
SR5023PSP	9160	1996	N	L	58	5	18	9.25
FCTEM2003049PGP	6020	2008	N	L	647	38	27.7	26.51
FCWEY4S2001001PGP	6279	2001	N	L	23	20	13.6	9.36
SR1008PSP	8990	2010	N	L	41	44	6.1	9.6
SR2231PSP	9062	1995	N	L	86	47	32.4	24.1
FCWEY4S2001059PGP	6340	2014	N	L	417	3	33.8	24.9
HEM_CLYD204PGP	12124	1991	N	L	16	14	47.8	7
1253146PIP	6710	2012	N	L	1	32	3.2	4.7
SR1021PSP	8998	1995	N	L	86	32	28.5	18.9
