plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
1136156	1	2006	Natural Stand	L 	13	1337	14.1	13.29	37.022	5.7846	6.955	6.9008	13.8559	42.8066	56.6625
1136156	1	2006	Natural Stand	L 	13	1338	17.2	13.13	61.0242	9.0335	9.2122	10.4415	19.6537	70.0577	89.7114
1136156	1	2006	Natural Stand	L 	13	1339	16.5	12.41	54.9699	8.2297	8.6865	9.5755	18.262	63.1997	81.4616
1136156	1	2006	Natural Stand	L 	13	1340	18.8	12.39	76.3208	11.0281	10.4472	12.5679	23.0151	87.3489	110.364
1136156	1	2006	Natural Stand	L 	13	1341	17.3	11.29	61.9203	9.1518	9.2881	10.5684	19.8565	71.072	90.9285
1136156	1	2006	Natural Stand	L 	13	1342	5.1	3.83	2.8698	0.5912	1.6507	0.829	2.4797	3.4609	5.9406
1136156	1	2017	Natural Stand	L 	13	1400	21.3	17	104.4707	14.592	12.4648	16.3025	28.7673	119.0627	147.83
1136156	1	2017	Natural Stand	L 	13	1401	22	14.4	113.3206	15.6896	13.048	17.4389	30.487	129.0101	159.4971
1136156	1	2017	Natural Stand	L 	13	1402	13.6	14.2	33.8087	5.3346	6.6088	6.4007	13.0095	39.1434	52.1528
1136156	1	2017	Natural Stand	L 	13	1403	17.5	14.1	63.7362	9.3908	9.4403	10.8246	20.2649	73.127	93.3919
1136156	1	2017	Natural Stand	L 	13	1404	14.4	14	39.0349	6.0643	7.1652	7.2104	14.3756	45.0992	59.4747
1136156	1	2017	Natural Stand	L 	13	1405	19.8	13	86.9445	12.3874	11.2417	14.0012	25.2429	99.332	124.5749
1136156	1	2017	Natural Stand	L 	13	1406	18.2	12.6	70.3428	10.2543	9.9788	11.7465	21.7252	80.5971	102.3224
1136156	1	2017	Natural Stand	L 	13	1407	18.5	12.6	73.2951	10.6373	10.2122	12.1536	22.3657	83.9324	106.2982
